pID,bID,bAdi,pAdi
8114,27025,cemel,Abdullah b. Abbâs
8114,27026,siffin,Abdullah b. Abbâs
8114,27027,istanbul seferleri,Abdullah b. Abbâs
8152,27028,şam fethi,Abdullah b. Amr
8152,27026,siffin,Abdullah b. Amr
8152,27029,yermuk,Abdullah b. Amr
8117,27026,siffin,Abdullah b. Cafer
8111,27005,NAHLE SERİYYESİ,Abdullah b. Cahş
8111,27009,Uhud,Abdullah b. Cahş
8111,27006,Bedir,Abdullah b. Cahş
8125,27006,Bedir,Abdullah b. Mes’ûd
8125,27009,Uhud,Abdullah b. Mes’ûd
8125,27015,Hendek,Abdullah b. Mes’ûd
8146,27019,Hayber,Abdullah b. Ömer
8146,27021,Mekke Fethi,Abdullah b. Ömer
8146,27030,misir fethi,Abdullah b. Ömer
8146,27027,istanbul seferleri,Abdullah b. Ömer
8101,27001,Ebva,Abdullah b. Osman
8101,27002,BUWAT,Abdullah b. Osman
8101,27003,SAFWAN,Abdullah b. Osman
8101,27004,Aşire,Abdullah b. Osman
8101,27005,NAHLE SERİYYESİ,Abdullah b. Osman
8101,27006,Bedir,Abdullah b. Osman
8101,27007,Beni Kaynuka,Abdullah b. Osman
8101,27008,SAWIQ,Abdullah b. Osman
8101,27009,Uhud,Abdullah b. Osman
8101,27010,Hamrâülesed,Abdullah b. Osman
8101,27011,Benî Nadr,Abdullah b. Osman
8101,27012,Bedrü'l Mev'id,Abdullah b. Osman
8101,27013,Zatürrika,Abdullah b. Osman
8101,27014,Devmetü’l-Cendel,Abdullah b. Osman
8101,27015,Hendek,Abdullah b. Osman
8101,27016,Benî Kurayza,Abdullah b. Osman
8101,27017,BANU LAHYAN,Abdullah b. Osman
8101,27018,DHU QARAD,Abdullah b. Osman
8101,27019,Hayber,Abdullah b. Osman
8101,27020,Mûte,Abdullah b. Osman
8101,27021,Mekke Fethi,Abdullah b. Osman
8101,27022,Huneyn,Abdullah b. Osman
8101,27023,Taif,Abdullah b. Osman
8101,27024,Tebük,Abdullah b. Osman
8137,27006,Bedir,Abdullah b. Revâha
8137,27020,Mûte,Abdullah b. Revâha
8137,27019,Hayber,Abdullah b. Revâha
8137,27015,Hendek,Abdullah b. Revâha
8137,27009,Uhud,Abdullah b. Revâha
8169,27031,kudüs,Abdullah b. Selâm
8169,27032,nihavend,Abdullah b. Selâm
8169,27009,Uhud,Abdullah b. Selâm
8169,27011,Benî Nadr,Abdullah b. Selâm
8169,27016,Benî Kurayza,Abdullah b. Selâm
8149,27028,şam fethi,Abdullah b. Zübeyr
8149,27029,yermuk,Abdullah b. Zübeyr
8149,27030,misir fethi,Abdullah b. Zübeyr
8149,27033,İfrikkıyye,Abdullah b. Zübeyr
8149,27034,Taberistan,Abdullah b. Zübeyr
8147,27006,Bedir,Abdurrahman b. Avf
8147,27009,Uhud,Abdurrahman b. Avf
8147,27015,Hendek,Abdurrahman b. Avf
8147,27014,Devmetü’l-Cendel,Abdurrahman b. Avf
8180,27035,Cürcan,Abdurrahman b. Sahr
8180,27029,yermuk,Abdurrahman b. Sahr
8180,27021,Mekke Fethi,Abdurrahman b. Sahr
8153,27001,Ebva,Ali b. Ebi Talib
8153,27002,BUWAT,Ali b. Ebi Talib
8153,27003,SAFWAN,Ali b. Ebi Talib
8153,27004,Aşire,Ali b. Ebi Talib
8153,27005,NAHLE SERİYYESİ,Ali b. Ebi Talib
8153,27006,Bedir,Ali b. Ebi Talib
8153,27007,Beni Kaynuka,Ali b. Ebi Talib
8153,27008,SAWIQ,Ali b. Ebi Talib
8153,27009,Uhud,Ali b. Ebi Talib
8153,27010,Hamrâülesed,Ali b. Ebi Talib
8153,27011,Benî Nadr,Ali b. Ebi Talib
8153,27012,Bedrü'l Mev'id,Ali b. Ebi Talib
8153,27013,Zatürrika,Ali b. Ebi Talib
8153,27014,Devmetü’l-Cendel,Ali b. Ebi Talib
8153,27015,Hendek,Ali b. Ebi Talib
8153,27016,Benî Kurayza,Ali b. Ebi Talib
8153,27017,BANU LAHYAN,Ali b. Ebi Talib
8153,27018,DHU QARAD,Ali b. Ebi Talib
8153,27019,Hayber,Ali b. Ebi Talib
8153,27020,Mûte,Ali b. Ebi Talib
8153,27021,Mekke Fethi,Ali b. Ebi Talib
8153,27022,Huneyn,Ali b. Ebi Talib
8153,27023,Taif,Ali b. Ebi Talib
8106,27006,Bedir,Âmir b. Abdullah
8106,27009,Uhud,Âmir b. Abdullah
8106,27015,Hendek,Âmir b. Abdullah
8115,27006,Bedir,Ammâr b. Yâsir
8115,27009,Uhud,Ammâr b. Yâsir
8115,27015,Hendek,Ammâr b. Yâsir
8115,27025,cemel,Ammâr b. Yâsir
8115,27026,siffin,Ammâr b. Yâsir
8178,27036,Kâdisiye,Amr b. Habib
8178,27037,Azerbaycan,Amr b. Habib
8178,27038,iran,Amr b. Habib
8138,27028,şam fethi,Amr b. Ma’dîkerib
8138,27036,Kâdisiye,Amr b. Ma’dîkerib
8138,27029,yermuk,Amr b. Ma’dîkerib
8138,27038,iran,Amr b. Ma’dîkerib
8109,27015,Hendek,Berâ b. Malik
8109,27040,yemame,Berâ b. Malik
8109,27038,iran,Berâ b. Malik
8168,27006,Bedir,Bilâl b. Rebâh
8168,27009,Uhud,Bilâl b. Rebâh
8168,27015,Hendek,Bilâl b. Rebâh
8113,27010,Hamrâülesed,Câbir b. Abdullah
8113,27015,Hendek,Câbir b. Abdullah
8113,27019,Hayber,Câbir b. Abdullah
8104,27021,Mekke Fethi,Cerîr b. Abdullah
8112,27021,Mekke Fethi,Cündeb b. Cünâde
8112,27022,Huneyn,Cündeb b. Cünâde
8112,27041,Ammûriye,Cündeb b. Cünâde
8155,27023,Taif,Enes b. Mâlik
8155,27019,Hayber,Enes b. Mâlik
8155,27021,Mekke Fethi,Enes b. Mâlik
