,pID,bID,Unnamed: 0,Adı,Anlamı,Künyesi,Lakabı,Baba Adı,Anne Adı,Kabilesi,Doğum Yeri,Doğum Yılı,İslam’a Girişi,Sohbet Süresi,Rivayeti,Savaşları,Görevleri,Vefat Yeri,Vefat Yılı,Vefat Yaşı,Eşi/Eşleri,Vefat Bolge,battleAdi
0,8114,27025,14,Abdullah b. Abbâs,Allah’ın kulu,Ebû’l-Abbâs / Abbâs’ın babası,el-Bahr / İlimde derya - Tercümanü’l-Kur’an / Kur’ân’ın tercümanı,Abbâs b. Abdülmuttalib,Lübabetü’l-Kübra bint Hâris,Haşimoğulları/Mekke,Mekke,"N. Sonrası, 8 / Miladî, 618",Doğuştan,3,1660,"Cemel, Sıffîn, İstanbul","Basra Valiliği ve Hac Emirliği, Muallimlik",Taif,"Hicrî, 68 / Miladî, 688",70,,Taif,Abdullah b. Abbâs
1,8114,27026,14,Abdullah b. Abbâs,Allah’ın kulu,Ebû’l-Abbâs / Abbâs’ın babası,el-Bahr / İlimde derya - Tercümanü’l-Kur’an / Kur’ân’ın tercümanı,Abbâs b. Abdülmuttalib,Lübabetü’l-Kübra bint Hâris,Haşimoğulları/Mekke,Mekke,"N. Sonrası, 8 / Miladî, 618",Doğuştan,3,1660,"Cemel, Sıffîn, İstanbul","Basra Valiliği ve Hac Emirliği, Muallimlik",Taif,"Hicrî, 68 / Miladî, 688",70,,Taif,Abdullah b. Abbâs
2,8114,27027,14,Abdullah b. Abbâs,Allah’ın kulu,Ebû’l-Abbâs / Abbâs’ın babası,el-Bahr / İlimde derya - Tercümanü’l-Kur’an / Kur’ân’ın tercümanı,Abbâs b. Abdülmuttalib,Lübabetü’l-Kübra bint Hâris,Haşimoğulları/Mekke,Mekke,"N. Sonrası, 8 / Miladî, 618",Doğuştan,3,1660,"Cemel, Sıffîn, İstanbul","Basra Valiliği ve Hac Emirliği, Muallimlik",Taif,"Hicrî, 68 / Miladî, 688",70,,Taif,Abdullah b. Abbâs
3,8152,27028,52,Abdullah b. Amr,Allah’ın kulu,Ebû Muhammed,Abâdile,Amr b. Âs b. Vâil,Rayta bint Münebbih,Sehmoğulları/Kureyş,Mekke,"Hicret Öncesi, 7/ Milâdî, 615",Çocukluktan itibaren,10,700,"Şam, Yermuk , Siffin",['Mısır Valiliği'],Fustat/Kahire/Mısır,"Hicrî, 65/ Milâdî, 685",70,,Mısır,Abdullah b. Amr
4,8152,27026,52,Abdullah b. Amr,Allah’ın kulu,Ebû Muhammed,Abâdile,Amr b. Âs b. Vâil,Rayta bint Münebbih,Sehmoğulları/Kureyş,Mekke,"Hicret Öncesi, 7/ Milâdî, 615",Çocukluktan itibaren,10,700,"Şam, Yermuk , Siffin",['Mısır Valiliği'],Fustat/Kahire/Mısır,"Hicrî, 65/ Milâdî, 685",70,,Mısır,Abdullah b. Amr
5,8152,27029,52,Abdullah b. Amr,Allah’ın kulu,Ebû Muhammed,Abâdile,Amr b. Âs b. Vâil,Rayta bint Münebbih,Sehmoğulları/Kureyş,Mekke,"Hicret Öncesi, 7/ Milâdî, 615",Çocukluktan itibaren,10,700,"Şam, Yermuk , Siffin",['Mısır Valiliği'],Fustat/Kahire/Mısır,"Hicrî, 65/ Milâdî, 685",70,,Mısır,Abdullah b. Amr
6,8117,27026,17,Abdullah b. Cafer,Allah’ın Kulu,Ebû Cafer / Cafer’in babası,Bahrü’l-Cûd / Cömertlik deryası,Cafer b. Ebî Talib,Esma bint Ümeys,Haşimoğulları/Mekke,Habeşistan,"H. Öncesi, 7 / Miladî, 616",Doğuştan,3,23,Sıffin,"Komutanlık, Danışmanlık",Baki Kabristanlığı/Medine,"Hicrî, 80 / Miladî, 700",84,,Medine,Abdullah b. Cafer
7,8111,27005,11,Abdullah b. Cahş,Allah’ın kulu,Ebû Muhammed / Muhammed’in babası,el-Mücedda fillah / Allah yolunda burnu kesilmiş,Cahş b. Riyab,Ümeyme bint Abdülmuttalib,Esedoğulları/Mekke,Mekke,"N. Öncesi, 25 / Miladî, 585",Nübüvvetin ilk günleri,10,2,"Nahle seriyyesi, Bedir , Uhud",Askerlik,Uhud Şehitliği / Medine,"Hicrî, 11 Şevval 3 / Miladî, 27 Mart 625",40,,Uhud,Abdullah b. Cahş
8,8111,27009,11,Abdullah b. Cahş,Allah’ın kulu,Ebû Muhammed / Muhammed’in babası,el-Mücedda fillah / Allah yolunda burnu kesilmiş,Cahş b. Riyab,Ümeyme bint Abdülmuttalib,Esedoğulları/Mekke,Mekke,"N. Öncesi, 25 / Miladî, 585",Nübüvvetin ilk günleri,10,2,"Nahle seriyyesi, Bedir , Uhud",Askerlik,Uhud Şehitliği / Medine,"Hicrî, 11 Şevval 3 / Miladî, 27 Mart 625",40,,Uhud,Abdullah b. Cahş
9,8111,27006,11,Abdullah b. Cahş,Allah’ın kulu,Ebû Muhammed / Muhammed’in babası,el-Mücedda fillah / Allah yolunda burnu kesilmiş,Cahş b. Riyab,Ümeyme bint Abdülmuttalib,Esedoğulları/Mekke,Mekke,"N. Öncesi, 25 / Miladî, 585",Nübüvvetin ilk günleri,10,2,"Nahle seriyyesi, Bedir , Uhud",Askerlik,Uhud Şehitliği / Medine,"Hicrî, 11 Şevval 3 / Miladî, 27 Mart 625",40,,Uhud,Abdullah b. Cahş
