bAdi,pAdi
cemel,Abdullah b. Abbâs
siffin,Abdullah b. Abbâs
istanbul seferleri,Abdullah b. Abbâs
şam fethi,Abdullah b. Amr
siffin,Abdullah b. Amr
yermuk,Abdullah b. Amr
siffin,Abdullah b. Cafer
NAHLE SERİYYESİ,Abdullah b. Cahş
Uhud,Abdullah b. Cahş
Bedir,Abdullah b. Cahş
Bedir,Abdullah b. Mes’ûd
Uhud,Abdullah b. Mes’ûd
Hendek,Abdullah b. Mes’ûd
Hayber,Abdullah b. Ömer
Mekke Fethi,Abdullah b. Ömer
misir fethi,Abdullah b. Ömer
istanbul seferleri,Abdullah b. Ömer
Ebva,Abdullah b. Osman
BUWAT,Abdullah b. Osman
SAFWAN,Abdullah b. Osman
Aşire,Abdullah b. Osman
NAHLE SERİYYESİ,Abdullah b. Osman
Bedir,Abdullah b. Osman
Beni Kaynuka,Abdullah b. Osman
SAWIQ,Abdullah b. Osman
Uhud,Abdullah b. Osman
Hamrâülesed,Abdullah b. Osman
Benî Nadr,Abdullah b. Osman
Bedrü'l Mev'id,Abdullah b. Osman
Zatürrika,Abdullah b. Osman
Devmetü’l-Cendel,Abdullah b. Osman
Hendek,Abdullah b. Osman
Benî Kurayza,Abdullah b. Osman
BANU LAHYAN,Abdullah b. Osman
DHU QARAD,Abdullah b. Osman
Hayber,Abdullah b. Osman
Mûte,Abdullah b. Osman
Mekke Fethi,Abdullah b. Osman
Huneyn,Abdullah b. Osman
Taif,Abdullah b. Osman
Tebük,Abdullah b. Osman
Bedir,Abdullah b. Revâha
Mûte,Abdullah b. Revâha
Hayber,Abdullah b. Revâha
Hendek,Abdullah b. Revâha
Uhud,Abdullah b. Revâha
kudüs,Abdullah b. Selâm
nihavend,Abdullah b. Selâm
Uhud,Abdullah b. Selâm
Benî Nadr,Abdullah b. Selâm
Benî Kurayza,Abdullah b. Selâm
şam fethi,Abdullah b. Zübeyr
yermuk,Abdullah b. Zübeyr
misir fethi,Abdullah b. Zübeyr
İfrikkıyye,Abdullah b. Zübeyr
Taberistan,Abdullah b. Zübeyr
Bedir,Abdurrahman b. Avf
Uhud,Abdurrahman b. Avf
Hendek,Abdurrahman b. Avf
Devmetü’l-Cendel,Abdurrahman b. Avf
Cürcan,Abdurrahman b. Sahr
yermuk,Abdurrahman b. Sahr
Mekke Fethi,Abdurrahman b. Sahr
Ebva,Ali b. Ebi Talib
BUWAT,Ali b. Ebi Talib
SAFWAN,Ali b. Ebi Talib
Aşire,Ali b. Ebi Talib
NAHLE SERİYYESİ,Ali b. Ebi Talib
Bedir,Ali b. Ebi Talib
Beni Kaynuka,Ali b. Ebi Talib
SAWIQ,Ali b. Ebi Talib
Uhud,Ali b. Ebi Talib
Hamrâülesed,Ali b. Ebi Talib
Benî Nadr,Ali b. Ebi Talib
Bedrü'l Mev'id,Ali b. Ebi Talib
Zatürrika,Ali b. Ebi Talib
Devmetü’l-Cendel,Ali b. Ebi Talib
Hendek,Ali b. Ebi Talib
Benî Kurayza,Ali b. Ebi Talib
BANU LAHYAN,Ali b. Ebi Talib
DHU QARAD,Ali b. Ebi Talib
Hayber,Ali b. Ebi Talib
Mûte,Ali b. Ebi Talib
Mekke Fethi,Ali b. Ebi Talib
